"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","141","Проверка создания заказа с неверным хешем ингредиентов","tests","Tue Jun 03 09:32:57 MSK 2025","passed","Tue Jun 03 09:32:57 MSK 2025","TestOrderCreate","test_order_create","",""
"","148","Проверка изменения данных пользователя с авторизацией","tests","Tue Jun 03 09:33:06 MSK 2025","passed","Tue Jun 03 09:33:06 MSK 2025","TestUserUpdate","test_user_update","",""
"","137","Проверка создания пользователя без заполнения одного из обязательных полей","tests","Tue Jun 03 09:33:00 MSK 2025","passed","Tue Jun 03 09:33:00 MSK 2025","TestUserCreate","test_user_create","",""
"","141","Проверка изменения данных пользователя без авторизации","tests","Tue Jun 03 09:33:07 MSK 2025","passed","Tue Jun 03 09:33:07 MSK 2025","TestUserUpdate","test_user_update","",""
"","279","Проверка успешного создания уникального пользователя","tests","Tue Jun 03 09:33:00 MSK 2025","passed","Tue Jun 03 09:33:00 MSK 2025","TestUserCreate","test_user_create","",""
"","2829","Проверка создания заказа с авторизацией","tests","Tue Jun 03 09:32:51 MSK 2025","passed","Tue Jun 03 09:32:54 MSK 2025","TestOrderCreate","test_order_create","",""
"","220","Проверка изменения данных пользователя с авторизацией","tests","Tue Jun 03 09:33:04 MSK 2025","passed","Tue Jun 03 09:33:04 MSK 2025","TestUserUpdate","test_user_update","",""
"","541","Проверка авторизации в неверным логином и паролем","tests","Tue Jun 03 09:33:01 MSK 2025","passed","Tue Jun 03 09:33:02 MSK 2025","TestUserLogin","test_user_login","",""
"","415","Проверка создания пользователя, который уже зарегистрирован","tests","Tue Jun 03 09:33:00 MSK 2025","passed","Tue Jun 03 09:33:00 MSK 2025","TestUserCreate","test_user_create","",""
"","140","Проверка получения заказов неавторизованного пользователя","tests","Tue Jun 03 09:32:59 MSK 2025","passed","Tue Jun 03 09:33:00 MSK 2025","TestOrdersUser","test_orders_user","",""
"","557","Проверка получения заказов авторизованного пользователя","tests","Tue Jun 03 09:32:58 MSK 2025","passed","Tue Jun 03 09:32:59 MSK 2025","TestOrdersUser","test_orders_user","",""
"","170","Проверка создания заказа без ингредиентов","tests","Tue Jun 03 09:32:55 MSK 2025","passed","Tue Jun 03 09:32:55 MSK 2025","TestOrderCreate","test_order_create","",""
"","523","Проверка авторизации существующего пользователя","tests","Tue Jun 03 09:33:01 MSK 2025","passed","Tue Jun 03 09:33:01 MSK 2025","TestUserLogin","test_user_login","",""
"","143","Проверка создания пользователя без заполнения одного из обязательных полей","tests","Tue Jun 03 09:33:00 MSK 2025","passed","Tue Jun 03 09:33:01 MSK 2025","TestUserCreate","test_user_create","",""
"","174","Проверка изменения данных пользователя с авторизацией","tests","Tue Jun 03 09:33:03 MSK 2025","passed","Tue Jun 03 09:33:03 MSK 2025","TestUserUpdate","test_user_update","",""
"","180","Проверка создания заказа без авторизации","tests","Tue Jun 03 09:32:54 MSK 2025","passed","Tue Jun 03 09:32:55 MSK 2025","TestOrderCreate","test_order_create","",""
"","431","Проверка авторизации в неверным логином и паролем","tests","Tue Jun 03 09:33:02 MSK 2025","passed","Tue Jun 03 09:33:02 MSK 2025","TestUserLogin","test_user_login","",""
"","138","Проверка создания пользователя без заполнения одного из обязательных полей","tests","Tue Jun 03 09:33:01 MSK 2025","passed","Tue Jun 03 09:33:01 MSK 2025","TestUserCreate","test_user_create","",""
